Date, Time, Endpoint, Url
1/22/2022, 4:05:18 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3A%2F%2Fapi.geoapify.com%2Fv2%2Fplaces%2F%3Fcategories%3Dcatering.fast_food%26filter%3Dcircle%3A-104.9847%2C39.7392%2C80450%26bias%3Dproximity%3A-104.9847%2C39.7392%26limit%3D10&cpuserialid=1234567
1/22/2022, 8:04:02 PM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=abc&cpuserialid=123456789
1/22/2022, 8:04:22 PM, recommendations, http://touristserver.sami200.repl.co/recommendations?cpuserialid=123456789
1/22/2022, 8:04:27 PM, recommendations, http://touristserver.sami200.repl.co/recommendations?cpuserialid=123456789
1/22/2022, 8:05:12 PM, recommendations, http://touristserver.sami200.repl.co/recommendations?cpuserialid=123456789&lat=73&long=-142
1/22/2022, 8:05:17 PM, recommendations, http://touristserver.sami200.repl.co/recommendations?cpuserialid=123456789&lat=73&long=-142
1/25/2022, 3:00:53 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/25/2022, 3:01:06 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/25/2022, 3:01:10 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.9833761&lat=39.7370192
1/25/2022, 3:01:12 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.983361&lat=39.7366946
1/25/2022, 3:01:13 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.983933&lat=39.7365152
1/25/2022, 3:01:15 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.9807885&lat=39.7401978
1/25/2022, 3:01:16 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.9876186&lat=39.7414905
1/26/2022, 5:08:53 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/26/2022, 5:08:58 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/26/2022, 5:16:03 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/26/2022, 5:16:08 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/26/2022, 5:18:51 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/26/2022, 5:18:55 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/26/2022, 5:19:29 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.9833761&lat=39.7370192
1/26/2022, 5:20:49 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/26/2022, 5:20:53 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/26/2022, 5:21:37 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/26/2022, 5:21:42 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/26/2022, 5:23:01 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.9876186&lat=39.7414905
1/26/2022, 5:33:24 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/26/2022, 5:33:29 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/26/2022, 5:33:36 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.983933&lat=39.7365152
1/26/2022, 5:33:36 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.983933&lat=39.7365152
1/26/2022, 5:33:39 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.983361&lat=39.7366946
1/27/2022, 5:44:23 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f76.25.155.188%2fjson
1/27/2022, 5:44:28 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering.fast_food%26filter%3dcircle%3a-104.9847%2c39.7392%2c80450%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000906EA
1/27/2022, 5:44:33 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.983933&lat=39.7365152
1/27/2022, 5:44:54 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.9833761&lat=39.7370192
1/28/2022, 4:47:37 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f73.153.177.88%2fjson
1/28/2022, 4:47:40 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering%26filter%3dcircle%3a-104.8769%2c39.5792%2c80450%26bias%3dproximity%3a-104.8769%2c39.5792%26limit%3d10&cpuserialid=BFEBFBFF000706E5
1/28/2022, 4:47:45 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8867284&lat=39.5808038
1/28/2022, 4:47:47 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8867284&lat=39.5808038
1/28/2022, 4:47:59 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.876178596738&lat=39.58206355
1/28/2022, 4:48:00 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.876178596738&lat=39.58206355
1/28/2022, 4:48:01 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8710976&lat=39.5795267
1/28/2022, 4:48:01 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.873051561193&lat=39.57987395
1/28/2022, 4:48:03 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8867284&lat=39.5808038
1/28/2022, 4:48:03 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8867284&lat=39.5808038
1/28/2022, 4:48:07 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f71.205.192.41%2fjson
1/28/2022, 4:48:19 AM, bingmaps, http://touristserver.sami200.repl.co/bingmaps?url=https%3a%2f%2fdev.virtualearth.net%2fREST%2fv1%2fLocations%3fq%3d9059+E+berry
1/28/2022, 4:48:22 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dcatering%26filter%3dcircle%3a-104.882690012672%2c39.6164372113695%2c80450%26bias%3dproximity%3a-104.882690012672%2c39.6164372113695%26limit%3d10&cpuserialid=BFEBFBFF000706E5
1/28/2022, 4:48:34 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8893375&lat=39.6191637
1/28/2022, 4:48:36 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8893425&lat=39.6189278
1/28/2022, 4:48:37 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8893375&lat=39.6191637
1/28/2022, 4:48:40 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8894458&lat=39.618839
1/28/2022, 4:48:41 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8887955&lat=39.6195297
1/28/2022, 4:48:42 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8894875&lat=39.6183168
1/28/2022, 4:48:42 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8893425&lat=39.6189278
1/28/2022, 4:48:43 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8893375&lat=39.6191637
1/28/2022, 4:48:44 AM, ipinfo, http://touristserver.sami200.repl.co/ipinfo?url=https%3a%2f%2fipinfo.io%2f71.205.192.41%2fjson
1/28/2022, 4:48:45 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8892072&lat=39.6196525
1/28/2022, 4:48:47 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8894875&lat=39.6183168
1/28/2022, 4:48:48 AM, geoapify, http://touristserver.sami200.repl.co/geoapify?url=https%3a%2f%2fapi.geoapify.com%2fv2%2fplaces%2f%3fcategories%3dentertainment.theme_park%26filter%3dcircle%3a-104.9847%2c39.7392%2c64360%26bias%3dproximity%3a-104.9847%2c39.7392%26limit%3d10&cpuserialid=BFEBFBFF000206D7
1/28/2022, 4:48:55 AM, weather, http://touristserver.sami200.repl.co/weather?long=-105.0122242313&lat=39.7490547
1/28/2022, 4:48:57 AM, weather, http://touristserver.sami200.repl.co/weather?long=-105.054033929077&lat=39.7804526
1/28/2022, 4:48:59 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8779284&lat=39.7729381
1/28/2022, 4:49:06 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8779284&lat=39.7729381
1/28/2022, 4:49:06 AM, weather, http://touristserver.sami200.repl.co/weather?long=-105.211614351619&lat=39.7124149
1/28/2022, 4:49:06 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8779284&lat=39.7729381
1/28/2022, 4:49:10 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8779284&lat=39.7729381
1/28/2022, 4:49:10 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8892072&lat=39.6196525
1/28/2022, 4:49:14 AM, weather, http://touristserver.sami200.repl.co/weather?long=-105.0122242313&lat=39.7490547
1/28/2022, 4:49:15 AM, weather, http://touristserver.sami200.repl.co/weather?long=-104.8779284&lat=39.7729381
1/28/2022, 4:49:16 AM, weather, http://touristserver.sami200.repl.co/weather?long=-105.054033929077&lat=39.7804526
